in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,7.6,270,180,None,575,None
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,550,None
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,550,None
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,551,None
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,538,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,0.2,None,498,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,0.2,None,476,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,0.2,None,491,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,180,1,None,492,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,1,None,397,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,1,None,530,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,1,None,497,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,1,None,522,None
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,130,1,None,419,None
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,150,1,None,431,None
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,170,1,None,446,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,10,None,462,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,10,None,509,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,10,None,613,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,20,None,590,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,30,None,500,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,30,None,605,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,30,None,518,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,30,None,681,None
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,170,30,None,468,None
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,150,30,None,432,None
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,130,30,None,412,None
indium chloride,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,130,30,None,502,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,60,None,625,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,60,None,520,None
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,60,None,692,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,180,120,None,626,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,120,None,574,None
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,water,1.2,5.002,180,15,1.75,481,None
indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1,palmitic acid,0.45,None,0,None,0,None,0,11,305,2,1.8,472,None
"indium tris(N,N-diisopropylacetamidinato)",0.9,tris(trimethylsilyl)phosphine,0.15,mesitylene,5,None,0,palmitic acid,0.3,hexadecylamine,0.3,None,0,None,0,5.077,150,1260,2,523,None
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,2,200,15,2.5,601,None
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,None,0,5.002,180,15,2.6,547,None
indium iodide,0.45,tris(diethylamino)phosphine,1.62,None,0,None,0,None,0,oleylamine,15,zinc chloride,2.2,None,0,4.936,180,30,2.8,509,None
indium bromide,0.45,tris(diethylamino)phosphine,1.62,None,0,None,0,None,0,oleylamine,15,zinc chloride,2.2,None,0,4.936,180,30,3,562,None
indium chloride,0.23,tris(diethylamino)phosphine,0.8,None,0,None,0,None,0,oleylamine,7.5,zinc chloride,1.1,None,0,2.468,180,20,3.2,None,None
indium chloride,0.45,tris(diethylamino)phosphine,1.62,None,0,None,0,None,0,oleylamine,15,zinc chloride,2.2,None,0,4.936,180,30,3.2,570,None
indium chloride,0.3,tris(dimethylamino)phosphine,1.2,None,0,None,0,None,0,oleylamine,4.3,zinc chloride,0.3,trioctylamine,4.3,1.415,220,0.5,3.6,492,None
"indium tris(N,N-diisopropylacetamidinato)",0.9,tris(trimethylsilyl)phosphine,0.15,mesitylene,5,None,0,palmitic acid,0.3,hexadecylamine,0.3,None,0,None,0,5.077,230,1260,4.1,584,None
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,2,260,15,4.3,620,None
indium chloride,0.3,tris(dimethylamino)phosphine,1.2,None,0,None,0,None,0,oleylamine,4.3,zinc chloride,0.3,trioctylamine,4.3,1.415,220,0.5,4.6,611,None
