doi,in_source,in_amount_mmol,p_source,p_amount_mmol,first_sol,first_sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,10,None,523,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,10,None,569,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,160,20,None,468,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,20,None,544,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,20,None,592,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,140,30,None,440,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,140,30,None,410,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,160,30,None,492,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,30,None,550,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,30,None,600,None,7/11/2021,Nayon
10.1038/s41586-019-1771-5,indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,10,palmitic acid,12,None,0,None,0,None,0,110,260,1,None,465,None,7/20/2021,Hao
10.1038/s41586-019-1771-5,indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,10,palmitic acid,12,None,0,None,0,None,0,110,260,20,None,495,None,7/20/2021,Hao
10.1021/acsanm.0c00008,indium iodide,0.9,tris(dimethylamino)phosphine,1.3,None,0,None,0,None,0,oleylamine,6,zinc chloride,2.2,None,0,1.975,180,2,None,485,None,7/21/2021,Hao
10.1021/acs.chemmater.0c00781,indium chloride,0.45,tris(diethylamino)phosphine ,0,None,0,None,0,None,0,oleylamine,15,None,0,None,0,4.936,180,3,None,490,None,7/23/2021,Hao
10.1002/cctc.202000616,indium chloride,0.45,tris(diethylamino)phosphine,1.6,toluene,3,None,0,None,0,oleylamine,15.19,zinc chloride,2.2,None,0,7.998,180,30,None,575,None,7/23/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,240,13,None,620,None,7/31/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,240,5,None,570,None,8/1/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,200,15,None,548,None,8/3/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,220,15,None,570,None,8/3/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,260,15,None,600,None,8/3/2021,Hao
