in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,emission_nm
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,None,0,zinc iodide,2.2,None,0,13.962,150,30,475
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,None,0,zinc bromide,2.2,None,0,13.962,150,30,501
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,None,0,zinc bromide,2.2,None,0,13.962,150,30,502
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,None,0,zinc chloride,2.2,None,0,13.962,150,30,551
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,None,0,zinc chloride,2.2,None,0,13.962,150,30,555
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,230,30,560
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,3,None,0,stearic acid,0.1,hexadecylamine,0.2,None,0,zinc undecylenate,0.08,None,0,3.052,240,20,630
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,oleic acid,0.3,None,0,None,0,zinc oleate,0.13,None,0,10,300,10,480
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,240,20,610
indium chloride,0.3,tris(trimethylsilyl)phosphine,0.3,octadecene,9,None,0,oleic acid,0.34,oleylamine,0.62,None,0,zinc undecylenate,0.3,None,0,9.204,210,20,620
indium chloride,1.81,tris(dimethylamino)phosphine,2.75,toluene,5,None,0,None,0,dodecylamine,27,None,0,None,0,None,0,11.198,180,1440,590
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,250,4320,600
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,260,4320,646
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,270,4320,677
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,280,4320,729
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,290,4320,765
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,300,4320,775
chloroindium oxalate,4.2,tris(trimethylsilyl)phosphine,2.07,None,0,trioctylphosphine,13.45257005,None,0,None,0,None,0,None,0,trioctylphosphine oxide,11.11111111,17.112,280,4320,612
indium chloride,2.26,tris(trimethylsilyl)phosphine,2,None,0,trioctylphosphine,17.93676007,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.83,8.83,270,1140,653
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,trioctylphosphine,11.21047504,None,0,None,0,None,0,zinc oleate,2,None,0,5,280,60,485
